keyword,avg_monthly,competition,competition_index,top_bid_low,top_bid_high,source_group,mapped_page,intent,priority,occurrences,source_files
ao smith express,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith f9,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith fan,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith finesse 10 ltr price,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith finesse 15 litre,50,High,92,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith finesse 15 ltr,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith finesse 15 ltr price,50,High,91,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith finesse 15l,50,High,92,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith finesse 25 litre geyser,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith finesse 25 ltr price,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith finesse 6 litre,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith finesse 6 ltr price,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith finesse 6ltr,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith finesse geyser,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith finesse water heater,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith gas geyser,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith gas geyser price,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith gas heater,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith gas hot water heater,50,High,86,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith gas water heater,50,High,86,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith gas water heater installation,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser 10 ltr price 5 star,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser 15 ltr finesse,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser 15 ltr flipkart,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser 15 ltr installation,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser 15 ltr price 5 star,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser 20 ltr price,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser 25 ltr finesse,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser 25 ltr price 5 star,50,High,88,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser 25 ltr price digital,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser 25 ltr price finesse,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser 3 ltr,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser 3 ltr price,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser 35 ltr price,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser 5 ltr price,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser 6 ltr,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser 6 ltr price,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser amazon,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser company,50,Low,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser croma,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser dealers near me,50,High,67,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser finesse,50,High,96,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser finesse 10 litre price,50,High,98,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser finesse 15 ltr price,50,High,95,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser flipkart,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser for hard water,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser installation,50,Low,4,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser installation charges,50,Low,3,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser instant,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser minibot,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser models,50,High,75,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser near me,50,Medium,57,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser not heating,50,Medium,43,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser online,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser pcb price,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser remote,50,Low,7,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser repair,50,Medium,43,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser repair near me,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser thermostat,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser thermostat price,50,High,71,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith geyser with remote,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith green series geyser,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith heat pump,50,High,78,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith heat pump 300 ltr price,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith heat pump 450 ltr price,50,High,81,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith heat pump price,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith heat pump water heater,50,High,96,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith heat pump water heater price,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith heatbot,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith heatbot 25l,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith heatbot szs 015 dg,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith heatbot szs 025,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith heatbot szs 025 dg,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith hot and cold water purifier,50,High,97,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith hot water heater,50,Medium,50,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith hot water purifier,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith hot water storage tank,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith hot water tank,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith hse sds,50,Medium,50,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith hse ses 25 litre,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith hw 300,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith installation,50,Low,5,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith installation charges,50,Low,7,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith instant geyser 3 litre,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith instant geyser installation,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith instant geyser price,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith instant hot water heater,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith intelli uv+,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith international,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith invi u1,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith jaquar,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith jaquar elite series,50,Medium,64,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith jaquar elite series geyser,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith jaquar geyser,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith kitchen geyser,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith latest geysers,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith latest water purifier,50,High,90,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith membrane price,50,Low,29,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith mini bot,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith minibot 3 l instant water geyser,50,Medium,50,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith minibot 3 litres instant water geyser,50,High,90,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith minibot 3 ltr,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith minibot 3kw,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith minibot 3l,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith minibot 4.5 kw,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith minibot price,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith minibot szs 3,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith minibot water heater,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith near me,50,Low,12,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith official website,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith online,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith online geyser,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith outdoor tankless water heater,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith p1,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith p3,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith p3 price,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith p3 water purifier,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith p4,50,High,94,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith p4 price,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith p4 water purifier,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith p4 water purifier price,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith p5,50,Medium,66,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith p5 price,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith p5 water purifier,50,High,82,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith p6 price,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith p6 proplanet,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith p6 water purifier,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith p6 water purifier price,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith p7,50,High,97,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith p7 price,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith p7 water purifier,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith planet p4,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith pro,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith pro line water heater,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith pro planet,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith pro planet p5,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith products,50,Low,7,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith proplanet p3,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith proplanet p4,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith proplanet p4 price,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith proplanet p6 price,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith proplanet p7,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith pumps,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith purifier,50,High,97,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith recirculation pump,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith repair,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith residential water heater,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith ro hot and cold water purifier,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith ro installation,50,Low,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith ro price,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith ro system,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith ro system installation,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith ro under sink,50,High,96,0.0,0.0,brands,Sinks (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith sds,50,High,89,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith sds 15 ltr,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith sds 25 ltr,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith sds green series,50,High,81,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith sds green series 015,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith sds green series 015 storage 15 litre,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith sds green series 025,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith sds green series 025 storage 25 litre,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith series 015,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith sgs,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith sgs green 006,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith sgs green 010,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith sgs green series 015,50,High,71,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith sgs green series 025,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith smart geyser,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith smart water heater,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith solar water heater,50,Low,6,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith storage tank,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith storage water geyser,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith szs 15,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith szs 25 ltr,50,High,86,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith szs 3,50,High,100,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith szs dg 25 ltr,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith tank water heater,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith tankless water heater electric,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith tankless water heater installation,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith tanks,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith thermostat,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith thermostat price,50,High,86,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith thermostat replacement,50,Unknown,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith under counter water purifier,50,High,96,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith under sink ro,50,Medium,59,0.0,0.0,brands,Sinks (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith us,50,Low,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith usa,50,Low,0,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith water,50,Medium,37,0.0,0.0,brands,Water Heaters (L2),Commercial,Low,1,seo/keyword-research/second-pass-brands/set-8.csv
